# Chunk-averaged data for fix massdensity and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
0 100 186
  58 0.575 1 1.03807
  59 0.585 0 0
  60 0.595 2 1.12518
  61 0.605 1 0.0871126
  62 0.615 3 1.21229
  63 0.625 1 1.03807
  64 0.635 3 1.21229
  65 0.645 2 0.174225
  66 0.655 1 0.0871126
  67 0.665 4 1.29941
  68 0.675 2 0.174225
  69 0.685 1 0.0871126
  70 0.695 2 0.174225
  71 0.705 4 1.29941
  72 0.715 5 4.23938
  73 0.725 1 0.0871126
  74 0.735 3 3.1142
  75 0.745 1 0.0871126
  76 0.755 0 0
  77 0.765 1 0.0871126
  78 0.775 0 0
  79 0.785 2 1.12518
  80 0.795 4 1.29941
  81 0.805 1 0.0871126
  82 0.815 1 0.0871126
  83 0.825 1 0.0871126
  84 0.835 2 1.12518
  85 0.845 3 1.21229
  86 0.855 1 1.03807
  87 0.865 4 1.29941
  88 0.875 1 1.03807
  89 0.885 6 0.522676
  90 0.895 1 0.0871126
  91 0.905 4 2.25036
  92 0.915 0 0
  93 0.925 2 0.174225
  94 0.935 1 1.03807
  95 0.945 1 0.0871126
  96 0.955 2 1.12518
  97 0.965 1 1.03807
  98 0.975 0 0
  99 0.985 1 0.0871126
  100 0.995 3 3.1142
7000 100 186
  1 0.005 2 0.160213
  2 0.015 1 0.954579
  3 0.025 4 2.06937
  4 0.035 1 0.0801065
  5 0.045 4 1.1949
  6 0.055 2 0.160213
  7 0.065 0 0
  8 0.075 1 0.954579
  9 0.085 2 1.03469
  10 0.095 2 1.90916
  11 0.105 2 0.160213
  12 0.115 1 0.0801065
  13 0.125 1 0.954579
  14 0.135 2 1.03469
  15 0.145 5 1.27501
  16 0.155 2 1.03469
  17 0.165 0 0
  18 0.175 2 1.03469
  19 0.185 5 1.27501
  20 0.195 3 0.240319
  21 0.205 0 0
  22 0.215 5 1.27501
  23 0.225 2 1.03469
  24 0.235 1 0.0801065
  25 0.245 1 0.954579
  26 0.255 1 0.954579
  27 0.265 3 0.240319
  28 0.275 2 1.03469
  29 0.285 1 0.954579
  30 0.295 1 0.0801065
  31 0.305 3 1.11479
  32 0.315 4 2.06937
  33 0.325 0 0
  34 0.335 2 1.03469
  35 0.345 4 2.06937
  36 0.355 1 0.954579
  37 0.365 3 1.11479
  38 0.375 0 0
  39 0.385 3 0.240319
  40 0.395 2 0.160213
  41 0.405 3 1.11479
  42 0.415 3 1.11479
  43 0.425 1 0.0801065
  44 0.435 1 0.954579
  45 0.445 0 0
  46 0.455 0 0
  47 0.465 3 0.240319
  48 0.475 1 0.954579
  49 0.485 1 0.0801065
  50 0.495 2 0.160213
  51 0.505 2 1.03469
  52 0.515 1 0.0801065
  53 0.525 2 0.160213
  54 0.535 2 0.160213
  55 0.545 1 0.954579
  56 0.555 3 1.11479
  57 0.565 0 0
  58 0.575 1 0.0801065
  59 0.585 2 1.03469
  60 0.595 0 0
  61 0.605 0 0
  62 0.615 3 1.98927
  63 0.625 1 0.954579
  64 0.635 1 0.0801065
  65 0.645 2 0.160213
  66 0.655 2 0.160213
  67 0.665 5 1.27501
  68 0.675 1 0.954579
  69 0.685 1 0.0801065
  70 0.695 3 1.98927
  71 0.705 2 1.03469
  72 0.715 2 1.03469
  73 0.725 3 0.240319
  74 0.735 5 2.14948
  75 0.745 2 0.160213
  76 0.755 0 0
