# Chunk-averaged data for fix ave_vx and group file
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount vx
1000 20 4000
  15 0.725 199.4 0.0196542
  16 0.775 199.48 -0.058882
  17 0.825 199.78 -0.0814791
  18 0.875 203.8 -0.145139
  19 0.925 208.84 -0.188906
  20 0.975 205.4 -0.215739
30000 20 4000
  1 0.025 197.44 -0.352559
  2 0.075 199.74 -0.228587
  3 0.125 201.48 -0.164849
  4 0.175 199.9 -0.142446
  5 0.225 202.42 -0.0671556
  6 0.275 203.16 0.0177753
  7 0.325 204.74 0.0638388
  8 0.375 202.8 0.125829
  9 0.425 201.74 0.128348
  10 0.475 196.58 0.226323
  11 0.525 193.58 0.390696
  12 0.575 196.84 0.261392
  13 0.625 195.3 0.179393
  14 0.675 200.9 0.100219
  15 0.725 200.64 0.0656455
  16 0.775 201.3 -0.0286554
  17 0.825 196.58 -0.0336951
  18 0.875 200.46 -0.102444
  19 0.925 202.94 -0.155446
  20 0.975 201.46 -0.262996
31000 20 4000
  1 0.025 204.58 -0.333938
  2 0.075 201.08 -0.21605
  3 0.125 199.1 -0.141259
  4 0.175 199.4 -0.104906
  5 0.225 197.58 -0.0497363
  6 0.275 198.62 -0.0759169
  7 0.325 197.26 0.0368542
  8 0.375 199.04 0.131826
  9 0.425 198.9 0.205424
  10 0.475 199.84 0.224522
  11 0.525 200.34 0.316725
  12 0.575 198.38 0.222588
  13 0.625 201.18 0.168023
  14 0.675 200.92 0.0943966
  15 0.725 199.16 0.0332514
  16 0.775 199.02 -0.0174846
  17 0.825 202.1 -0.0678527
  18 0.875 201.08 -0.0641694
  19 0.925 200.52 -0.12695
  20 0.975 201.9 -0.222766
32000 20 4000
  1 0.025 201.62 -0.356005
  2 0.075 200.66 -0.252914
  3 0.125 196.48 -0.118686
  4 0.175 200.36 -0.0537886
  5 0.225 198.24 -0.0349854
  6 0.275 199.78 0.0156783
  7 0.325 198.36 0.0684058
  8 0.375 201.3 0.0904835
  9 0.425 202.34 0.159044
  10 0.475 200.26 0.235803
  11 0.525 207.04 0.337835
  12 0.575 200.72 0.211754
  13 0.625 200.06 0.138965
  14 0.675 200.6 0.106969
  15 0.725 199.14 0.0374673
  16 0.775 198.34 -0.0216783
  17 0.825 199.06 -0.0825012
  18 0.875 198.9 -0.0907724
  19 0.925 197.58 -0.144498
  20 0.975 199.16 -0.264115
33000 20 4000
  1 0.025 198.46 -0.321687
  2 0.075 201.72 -0.270528
  3 0.125 199.4 -0.186831
  4 0.175 196.1 -0.0775084
  5 0.225 199 0.0299472
  6 0.275 199.26 0.0298591
  7 0.325 200.56 0.0131459
  8 0.375 198.08 0.0806938
  9 0.425 204.06 0.15798
  10 0.475 204.24 0.221662
  11 0.525 205.5 0.336732
  12 0.575 201.1 0.284591
  13 0.625 199.56 0.185356
